,0
coupler_position,0.01851995140314084
injector12_pressure,0.062263063665970064
injector34_pressure,0.07138684524319688
pump_rotspeed,0.0624164007953417
turbine_rotspeed,0.06778933514901801
water_opening_sum,0.00027661705302307155
injector_opening_sum,0.07133935400148775
exc_freq,0.08143362645669909
exc_current,0.0796665265806414
exc_voltage,0.0684031658266512
elec_freq,0.07503890574762885
ph01_current,0.05797493137279387
ph02_current,0.06398279579190935
ph03_current,0.06572273976933499
ph01_voltage,0.07695578868545849
ph12_voltage,0.08115560725420268
ph02_voltage,0.07417433673993305
ph23_voltage,0.07811200539528024
ph03_voltage,0.08243389556360022
ph31_voltage,0.08217761643734904
stat_magn_01_tmp,0.05186018367238538
stat_magn_02_tmp,0.04772477068981619
stat_coil_ph01_01_tmp,0.036469906432128114
stat_coil_ph01_02_tmp,0.03556217231851337
stat_coil_ph02_01_tmp,0.038353984693686165
stat_coil_ph03_01_tmp,0.03493872457577115
stat_coil_ph03_02_tmp,0.041054836223067756
air_circ_hot_tmp,0.04526651400830718
air_circ_cold_01_tmp,0.05146512043100581
air_circ_cold_02_tmp,0.048989158415980026
water_circ_hot_01_tmp,0.04678744629974333
water_circ_hot_02_tmp,0.04480534406690742
water_circ_cold_tmp,0.053027607733795105
tot_activepower,0.06552110771082531
plant_tmp,0.05484871202496053
ext_tmp,0.053423918751403475
water_primary_cold_tmp,0.0758886305299438
water_primary_hot_tmp,0.05590589160897899
valve_opening,0.07941564784186862
refri_bath_level,0.08388205861774824
aspi_bath_level,0.06301578415275227
canal_level,0.0884880743600038
canal_tmp,0.054124432429504134
water_primary_filter_out_pressure,0.05001962972802073
water_primary_filter_in_pressure,0.049133470174441425
lake_tmp,0.04022101133596087
tot_reactivepower,0.07850872058352194
powerfactor,0.09396545348555742
