,0
charge,0.028899941993017653
coupler_position,0.04168072125822154
pump_calculated_flow,0.040323561172236747
pump_pressure_diff,0.025702066426060474
pump_rotspeed,0.0427381743837164
turbine_pressure,0.046270246617610165
turbine_rotspeed,0.023538122944056966
water_opening_sum,0.038593801397005835
injector_opening_sum,0.04261527118569441
elec_freq,0.012072867315476512
exc_current,0.026275016531713696
exc_voltage,0.016037747212711433
mid_voltage,0.013543181723089453
neutral_current,0.008494894642917276
ph01_current,0.021752961392501845
ph01_voltage,0.012781640031682135
ph12_voltage,0.012633369563292406
ph02_current,0.02231137547142311
ph02_voltage,0.012600373982949126
ph23_voltage,0.012653255842526516
ph03_current,0.021907755839758417
ph03_voltage,0.012745243699805193
ph31_voltage,0.012615180523906854
stat_coil_ph01_01_tmp,0.01804220069549668
stat_coil_ph01_02_tmp,0.016631307801062256
stat_coil_ph01_03_tmp,0.016833765765148206
stat_coil_ph01_04_tmp,0.01629678855092002
stat_coil_ph01_05_tmp,0.02436093844621678
stat_coil_ph01_06_tmp,0.026326458317791242
stat_coil_ph02_01_tmp,0.017875016981887842
stat_coil_ph02_02_tmp,0.017489421011181214
stat_coil_ph02_03_tmp,0.017405590704118155
stat_coil_ph02_04_tmp,0.017705032849499498
stat_coil_ph02_05_tmp,0.026715508578744517
stat_coil_ph02_06_tmp,0.027581059528477753
stat_coil_ph03_01_tmp,0.016210465680116224
stat_coil_ph03_02_tmp,0.017615522148900623
stat_coil_ph03_03_tmp,0.017768728338710703
stat_coil_ph03_04_tmp,0.016936102621304627
stat_coil_ph03_05_tmp,0.024799776230245107
stat_coil_ph03_06_tmp,0.023862432855558592
stat_magn_01_tmp,0.027059918055535075
stat_magn_02_tmp,0.024248965458788834
stat_magn_03_tmp,0.023637222077698344
stat_magn_04_tmp,0.0256177664829228
stat_magn_05_tmp,0.02404318909309574
stat_magn_06_tmp,0.023218344726666642
stat_magn_07_tmp,0.025195223122841937
stat_magn_08_tmp,0.024668097774671112
stat_magn_09_tmp,0.02390503871034787
stat_magn_10_tmp,0.02510414369319851
stat_magn_11_tmp,0.02443211008966919
stat_magn_12_tmp,0.025114528150245844
air_circ_cold_01_tmp,0.016961917002372602
air_circ_cold_02_tmp,0.017365324623929954
air_circ_cold_03_tmp,0.01733674083286498
air_circ_cold_04_tmp,0.017138519035208678
air_circ_cold_05_tmp,0.016992990458932072
air_circ_cold_06_tmp,0.017179468635490632
air_circ_hot_01_tmp,0.01916546141772804
air_circ_hot_02_tmp,0.01828471364528765
air_circ_hot_03_tmp,0.019207831124527702
air_circ_hot_04_tmp,0.019121771347752357
air_circ_hot_05_tmp,0.020897628433958867
air_circ_hot_06_tmp,0.017936801141546093
water_circ_cold_tmp,0.02070786649746531
water_circ_flow,0.03240808839713301
water_circ_hot_01_tmp,0.015518487774307262
water_circ_hot_02_tmp,0.015201560542206416
water_circ_hot_03_tmp,0.015305540837282689
water_circ_hot_04_tmp,0.015057066691797403
water_circ_hot_05_tmp,0.015208943861520729
water_circ_hot_06_tmp,0.014966168181722318
water_circ_hot_tmp,0.015013790893321608
tot_activepower,0.022666293218278066
ext_tmp,0.0250776997193234
plant_tmp,0.035590259823929826
tot_current,0.021790894394532873
tot_effectivepower,0.021407383580043588
tot_reactivepower,0.05013655709464476
air_gap_negative_x_position,0.03824983355773679
air_gap_positive_x_position,0.03609328850291195
air_gap_negative_y_position,0.027718984043629838
air_gap_positive_y_position,0.03738723788071007
