,0
coupler_position,0.0008414773887488995
injector12_pressure,0.029087234076594647
injector34_pressure,0.06712979680344404
pump_rotspeed,0.09447164691108487
turbine_rotspeed,0.07937363381699455
water_opening_sum,0.0009492904442595332
injector_opening_sum,0.05975275079433046
exc_freq,0.07185828900915664
exc_current,0.05719654345399484
exc_voltage,0.06905126625219735
elec_freq,0.07853061251376971
ph01_current,0.048276340413047104
ph02_current,0.048160434669377826
ph03_current,0.04928804493428219
ph01_voltage,0.039343936598522755
ph12_voltage,0.03882716208981306
ph02_voltage,0.03942594100052908
ph23_voltage,0.03569639603084648
ph03_voltage,0.038791129351329064
ph31_voltage,0.0377875393938805
stat_magn_01_tmp,0.055880699895810945
stat_magn_02_tmp,0.05088605822862989
stat_coil_ph01_01_tmp,0.042611548919422634
stat_coil_ph01_02_tmp,0.04547643825585476
stat_coil_ph02_01_tmp,0.04590281885403858
stat_coil_ph03_01_tmp,0.04368165454803369
stat_coil_ph03_02_tmp,0.05291828908681129
air_circ_hot_tmp,0.054945111144602675
air_circ_cold_01_tmp,0.05091457497906796
air_circ_cold_02_tmp,0.04457297175566857
water_circ_hot_01_tmp,0.0604604387997533
water_circ_hot_02_tmp,0.05295497143553164
water_circ_cold_tmp,0.06755712564002687
tot_activepower,0.06168184280767383
plant_tmp,0.07487730144915845
ext_tmp,0.06367350955334142
water_primary_cold_tmp,0.08165837187468984
water_primary_hot_tmp,0.07333288377977562
valve_opening,0.08324419877789808
refri_bath_level,0.08115850685413085
aspi_bath_level,0.07799241722524151
canal_level,0.07808348770763848
canal_tmp,0.0808170560664613
water_primary_filter_out_pressure,0.054873169871211734
water_primary_filter_in_pressure,0.053679187772393826
lake_tmp,0.07269149283409437
tot_reactivepower,0.06867380733219587
powerfactor,0.07868861406063356
